file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/FuncionarioDbAdapter.java,com.grupitxo.classes.FuncionarioDbAdapter,class,4,6,2,4,22,1,0,28,0,0,0,0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,3,158,11,1,1,9,0,58,28,62,7,60,3,0,0,0,75,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/FuncionarioController.java,com.grupitxo.classes.FuncionarioController,class,6,9,3,6,28,1,0,30,0,0.2777778,0,0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,108,8,0,4,1,0,21,18,21,1,21,3,0,0,0,62,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/enums/Genero.java,com.grupitxo.enums.Genero,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/typeadapter/ProdutoTypeAdapter.java,com.grupitxo.typeadapter.ProdutoTypeAdapter,class,5,7,2,5,11,2,0,23,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,54,1,1,0,1,0,15,3,17,0,10,2,0,0,0,28,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/StringsMenu.java,com.grupitxo.classes.StringsMenu,class,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,125,0,0,0,0,0,0,0,14,0,14,0,0,0,0,78,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/DatabaseConfig.java,com.grupitxo.classes.DatabaseConfig,class,1,4,3,1,4,1,0,8,1,0.5,0,0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,24,1,0,0,1,0,37,0,7,4,7,1,0,0,0,48,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/Cliente.java,com.grupitxo.classes.Cliente,class,2,12,10,2,4,2,0,11,4,0.5,0,0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,27,2,0,0,0,0,0,1,1,0,1,0,0,0,0,9,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/ClienteView.java,com.grupitxo.classes.ClienteView,class,1,3,2,1,18,1,0,8,36,0,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,68,9,1,2,0,0,11,0,5,2,5,1,0,0,0,53,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/classes/Produto.java,com.grupitxo.classes.Produto,class,2,11,9,2,63,1,0,34,168,0.8266667,0,0,25,10,25,0,0,0,25,0,0,0,9,2,0,9,0,0,0,0,31,337,36,3,8,0,0,27,29,75,2,42,2,0,0,0,83,1,0
/home/guilherme-larre/Documents/UNICAP/projeto_aps/aps/src/main/java/com/grupitxo/enums/PrefCom.java,com.grupitxo.enums.PrefCom,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
